Data;Temperatura
2023-10-18;29,60
2023-10-19;29,17
2023-10-20;30,65
2023-10-21;31,77
2023-10-22;30,73
2023-10-23;30,20
2023-10-24;31,40
2023-10-25;25,19
2023-10-26;25,90
2023-10-27;27,93
2023-10-28;29,61
2023-10-29;30,23
2023-10-30;29,54
2023-10-31;30,36
2023-11-01;30,56
2023-11-02;28,64
2023-11-03;27,86
2023-11-04;28,59
2023-11-05;29,04
2023-11-06;25,48
2023-11-07;27,39
2023-11-08;28,32
2023-11-09;28,30
2023-11-10;29,58
2023-11-11;29,16
2023-11-12;30,91
2023-11-13;30,34
2023-11-14;31,05
2023-11-15;30,97
2023-11-16;31,07
2023-11-17;25,68
2023-11-18;28,21
2023-11-19;28,06
2023-11-20;27,69
2023-11-21;28,01
2023-11-22;28,29
2023-11-23;29,40
2023-11-24;29,97
2023-11-25;28,84
2023-11-26;30,20
2023-11-27;29,50
2023-11-28;28,99
2023-11-29;30,38
2023-11-30;31,34
2023-12-01;31,55
2023-12-02;31,23
2023-12-03;28,63
2023-12-04;26,90
2023-12-05;26,86
2023-12-06;29,98
2023-12-07;28,96
2023-12-08;29,40
2023-12-09;30,07
2023-12-10;29,32
2023-12-11;29,84
2023-12-12;28,27
2023-12-13;29,09
2023-12-14;30,44
2023-12-15;29,91
2023-12-16;30,77
2023-12-17;31,10
2023-12-18;29,26
2023-12-19;25,57
2023-12-20;24,80
2023-12-21;23,76
2023-12-22;26,38
2023-12-23;28,81
2023-12-24;29,30
2023-12-25;31,11
2023-12-26;32,32
2023-12-27;31,61
2023-12-28;31,72
2023-12-29;30,29
2023-12-30;27,58
2023-12-31;26,83
